epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
113,16789.2,0.82504,0.80373,0.99615,0.54371,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,16863.3,0.83028,0.80575,0.99615,0.54204,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,16937.4,0.82104,0.80636,0.99615,0.54154,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,17339.8,0.8059,0.80818,0.99615,0.53701,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,17419.1,0.80764,0.8094,0.99615,0.535,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,17498.4,0.80791,0.81021,0.99615,0.53251,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,18318.9,0.80634,0.81122,0.99635,0.53182,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,18552.8,0.80362,0.81223,0.99635,0.52728,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,18629.7,0.78436,0.81203,0.99656,0.52729,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,18784.6,0.79042,0.81223,0.99656,0.52583,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,18863.5,0.78787,0.81264,0.99676,0.52409,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,18944.3,0.78897,0.81426,0.99656,0.52411,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,19336.8,0.78424,0.81466,0.99656,0.52126,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,19410.6,0.772,0.81669,0.99656,0.51773,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,19483.9,0.7694,0.8173,0.99656,0.51443,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,19559,0.75841,0.81892,0.99656,0.51382,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,19633.2,0.75803,0.81993,0.99656,0.51138,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,19706.9,0.7491,0.82175,0.99656,0.5094,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,19912.8,0.76095,0.82317,0.99656,0.50888,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,19987.1,0.74943,0.8252,0.99676,0.50555,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,20065.2,0.75227,0.8254,0.99676,0.50209,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,20141.2,0.74003,0.82722,0.99676,0.50133,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,20217.6,0.73159,0.82844,0.99676,0.49869,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
136,20295.3,0.7387,0.82884,0.99696,0.49693,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
137,20370.5,0.75206,0.83026,0.99696,0.49363,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
138,20445.9,0.73472,0.83107,0.99696,0.49231,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479,0.016437,0.005479
139,20521.6,0.72522,0.83087,0.99696,0.48951,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
140,20740.3,0.72001,0.83208,0.99696,0.4869,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413,0.016239,0.005413
141,20819.4,0.70515,0.8331,0.99696,0.48425,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
142,20896.6,0.70316,0.83472,0.99696,0.48241,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
143,20971.2,0.7192,0.83654,0.99696,0.47773,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
144,21049.9,0.70889,0.83998,0.99696,0.47707,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281,0.015843,0.005281
145,21125.4,0.69326,0.84181,0.99716,0.47423,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
146,21200.9,0.68945,0.84322,0.99716,0.47368,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
147,21300.7,0.6939,0.84403,0.99716,0.47,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
148,21376.1,0.69366,0.84485,0.99737,0.46618,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
149,21454.9,0.68107,0.84545,0.99716,0.46487,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
150,21531.9,0.68387,0.84788,0.99716,0.46171,0.015249,0.005083,0.015249,0.005083,0.015249,0.005083,0.015249,0.005083
151,21605.6,0.67853,0.84849,0.99716,0.46052,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
152,21766.4,0.67753,0.8493,0.99716,0.45631,0.015051,0.005017,0.015051,0.005017,0.015051,0.005017,0.015051,0.005017
153,21845.3,0.67319,0.84971,0.99737,0.45612,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
154,21927.2,0.66835,0.85234,0.99737,0.45355,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
155,22008.3,0.65001,0.85295,0.99737,0.44679,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
156,22085.9,0.6507,0.85477,0.99737,0.44472,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
157,22163.3,0.65609,0.85619,0.99737,0.44321,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
